query_id,source,purpose,expected_raw_path,status,sha256,bytes,message
eurostat_consumer_price_index_AUT,Eurostat,consumer_price_index,data/raw/2026-08-22/eurostat_consumer_price_index_AUT_1995_2025.json,missing,,0,raw payload not found
eurostat_consumer_price_index_BEL,Eurostat,consumer_price_index,data/raw/2026-08-22/eurostat_consumer_price_index_BEL_1995_2025.json,missing,,0,raw payload not found
eurostat_consumer_price_index_DEU,Eurostat,consumer_price_index,data/raw/2026-08-22/eurostat_consumer_price_index_DEU_1995_2025.json,missing,,0,raw payload not found
eurostat_consumer_price_index_DNK,Eurostat,consumer_price_index,data/raw/2026-08-22/eurostat_consumer_price_index_DNK_1995_2025.json,missing,,0,raw payload not found
eurostat_consumer_price_index_ESP,Eurostat,consumer_price_index,data/raw/2026-08-22/eurostat_consumer_price_index_ESP_1995_2025.json,missing,,0,raw payload not found
eurostat_consumer_price_index_FIN,Eurostat,consumer_price_index,data/raw/2026-08-22/eurostat_consumer_price_index_FIN_1995_2025.json,missing,,0,raw payload not found
eurostat_consumer_price_index_FRA,Eurostat,consumer_price_index,data/raw/2026-08-22/eurostat_consumer_price_index_FRA_1995_2025.json,missing,,0,raw payload not found
eurostat_consumer_price_index_GBR,Eurostat,consumer_price_index,data/raw/2026-08-22/eurostat_consumer_price_index_GBR_1995_2025.json,missing,,0,raw payload not found
eurostat_consumer_price_index_ITA,Eurostat,consumer_price_index,data/raw/2026-08-22/eurostat_consumer_price_index_ITA_1995_2025.json,missing,,0,raw payload not found
eurostat_consumer_price_index_NLD,Eurostat,consumer_price_index,data/raw/2026-08-22/eurostat_consumer_price_index_NLD_1995_2025.json,missing,,0,raw payload not found
eurostat_consumer_price_index_PRT,Eurostat,consumer_price_index,data/raw/2026-08-22/eurostat_consumer_price_index_PRT_1995_2025.json,missing,,0,raw payload not found
eurostat_consumer_price_index_SWE,Eurostat,consumer_price_index,data/raw/2026-08-22/eurostat_consumer_price_index_SWE_1995_2025.json,missing,,0,raw payload not found
eurostat_employee_compensation_AUT,Eurostat,employee_compensation,data/raw/2026-08-22/eurostat_employee_compensation_AUT_1995_2025.json,missing,,0,raw payload not found
eurostat_employee_compensation_BEL,Eurostat,employee_compensation,data/raw/2026-08-22/eurostat_employee_compensation_BEL_1995_2025.json,missing,,0,raw payload not found
eurostat_employee_compensation_DEU,Eurostat,employee_compensation,data/raw/2026-08-22/eurostat_employee_compensation_DEU_1995_2025.json,missing,,0,raw payload not found
eurostat_employee_compensation_DNK,Eurostat,employee_compensation,data/raw/2026-08-22/eurostat_employee_compensation_DNK_1995_2025.json,missing,,0,raw payload not found
eurostat_employee_compensation_ESP,Eurostat,employee_compensation,data/raw/2026-08-22/eurostat_employee_compensation_ESP_1995_2025.json,missing,,0,raw payload not found
eurostat_employee_compensation_FIN,Eurostat,employee_compensation,data/raw/2026-08-22/eurostat_employee_compensation_FIN_1995_2025.json,missing,,0,raw payload not found
eurostat_employee_compensation_FRA,Eurostat,employee_compensation,data/raw/2026-08-22/eurostat_employee_compensation_FRA_1995_2025.json,missing,,0,raw payload not found
eurostat_employee_compensation_GBR,Eurostat,employee_compensation,data/raw/2026-08-22/eurostat_employee_compensation_GBR_1995_2025.json,missing,,0,raw payload not found
eurostat_employee_compensation_ITA,Eurostat,employee_compensation,data/raw/2026-08-22/eurostat_employee_compensation_ITA_1995_2025.json,missing,,0,raw payload not found
eurostat_employee_compensation_NLD,Eurostat,employee_compensation,data/raw/2026-08-22/eurostat_employee_compensation_NLD_1995_2025.json,missing,,0,raw payload not found
eurostat_employee_compensation_PRT,Eurostat,employee_compensation,data/raw/2026-08-22/eurostat_employee_compensation_PRT_1995_2025.json,missing,,0,raw payload not found
eurostat_employee_compensation_SWE,Eurostat,employee_compensation,data/raw/2026-08-22/eurostat_employee_compensation_SWE_1995_2025.json,missing,,0,raw payload not found
eurostat_employees_AUT,Eurostat,employees,data/raw/2026-08-22/eurostat_employees_AUT_1995_2025.json,missing,,0,raw payload not found
eurostat_employees_BEL,Eurostat,employees,data/raw/2026-08-22/eurostat_employees_BEL_1995_2025.json,missing,,0,raw payload not found
eurostat_employees_DEU,Eurostat,employees,data/raw/2026-08-22/eurostat_employees_DEU_1995_2025.json,missing,,0,raw payload not found
eurostat_employees_DNK,Eurostat,employees,data/raw/2026-08-22/eurostat_employees_DNK_1995_2025.json,missing,,0,raw payload not found
eurostat_employees_ESP,Eurostat,employees,data/raw/2026-08-22/eurostat_employees_ESP_1995_2025.json,missing,,0,raw payload not found
eurostat_employees_FIN,Eurostat,employees,data/raw/2026-08-22/eurostat_employees_FIN_1995_2025.json,missing,,0,raw payload not found
eurostat_employees_FRA,Eurostat,employees,data/raw/2026-08-22/eurostat_employees_FRA_1995_2025.json,missing,,0,raw payload not found
eurostat_employees_GBR,Eurostat,employees,data/raw/2026-08-22/eurostat_employees_GBR_1995_2025.json,missing,,0,raw payload not found
eurostat_employees_ITA,Eurostat,employees,data/raw/2026-08-22/eurostat_employees_ITA_1995_2025.json,missing,,0,raw payload not found
eurostat_employees_NLD,Eurostat,employees,data/raw/2026-08-22/eurostat_employees_NLD_1995_2025.json,missing,,0,raw payload not found
eurostat_employees_PRT,Eurostat,employees,data/raw/2026-08-22/eurostat_employees_PRT_1995_2025.json,missing,,0,raw payload not found
eurostat_employees_SWE,Eurostat,employees,data/raw/2026-08-22/eurostat_employees_SWE_1995_2025.json,missing,,0,raw payload not found
eurostat_nominal_gdp_AUT,Eurostat,nominal_gdp,data/raw/2026-08-22/eurostat_nominal_gdp_AUT_1995_2025.json,missing,,0,raw payload not found
eurostat_nominal_gdp_BEL,Eurostat,nominal_gdp,data/raw/2026-08-22/eurostat_nominal_gdp_BEL_1995_2025.json,missing,,0,raw payload not found
eurostat_nominal_gdp_DEU,Eurostat,nominal_gdp,data/raw/2026-08-22/eurostat_nominal_gdp_DEU_1995_2025.json,missing,,0,raw payload not found
eurostat_nominal_gdp_DNK,Eurostat,nominal_gdp,data/raw/2026-08-22/eurostat_nominal_gdp_DNK_1995_2025.json,missing,,0,raw payload not found
eurostat_nominal_gdp_ESP,Eurostat,nominal_gdp,data/raw/2026-08-22/eurostat_nominal_gdp_ESP_1995_2025.json,missing,,0,raw payload not found
eurostat_nominal_gdp_FIN,Eurostat,nominal_gdp,data/raw/2026-08-22/eurostat_nominal_gdp_FIN_1995_2025.json,missing,,0,raw payload not found
eurostat_nominal_gdp_FRA,Eurostat,nominal_gdp,data/raw/2026-08-22/eurostat_nominal_gdp_FRA_1995_2025.json,missing,,0,raw payload not found
eurostat_nominal_gdp_GBR,Eurostat,nominal_gdp,data/raw/2026-08-22/eurostat_nominal_gdp_GBR_1995_2025.json,missing,,0,raw payload not found
eurostat_nominal_gdp_ITA,Eurostat,nominal_gdp,data/raw/2026-08-22/eurostat_nominal_gdp_ITA_1995_2025.json,missing,,0,raw payload not found
eurostat_nominal_gdp_NLD,Eurostat,nominal_gdp,data/raw/2026-08-22/eurostat_nominal_gdp_NLD_1995_2025.json,missing,,0,raw payload not found
eurostat_nominal_gdp_PRT,Eurostat,nominal_gdp,data/raw/2026-08-22/eurostat_nominal_gdp_PRT_1995_2025.json,missing,,0,raw payload not found
eurostat_nominal_gdp_SWE,Eurostat,nominal_gdp,data/raw/2026-08-22/eurostat_nominal_gdp_SWE_1995_2025.json,missing,,0,raw payload not found
eurostat_real_gdp_AUT,Eurostat,real_gdp,data/raw/2026-08-22/eurostat_real_gdp_AUT_1995_2025.json,missing,,0,raw payload not found
eurostat_real_gdp_BEL,Eurostat,real_gdp,data/raw/2026-08-22/eurostat_real_gdp_BEL_1995_2025.json,missing,,0,raw payload not found
eurostat_real_gdp_DEU,Eurostat,real_gdp,data/raw/2026-08-22/eurostat_real_gdp_DEU_1995_2025.json,missing,,0,raw payload not found
eurostat_real_gdp_DNK,Eurostat,real_gdp,data/raw/2026-08-22/eurostat_real_gdp_DNK_1995_2025.json,missing,,0,raw payload not found
eurostat_real_gdp_ESP,Eurostat,real_gdp,data/raw/2026-08-22/eurostat_real_gdp_ESP_1995_2025.json,missing,,0,raw payload not found
eurostat_real_gdp_FIN,Eurostat,real_gdp,data/raw/2026-08-22/eurostat_real_gdp_FIN_1995_2025.json,missing,,0,raw payload not found
eurostat_real_gdp_FRA,Eurostat,real_gdp,data/raw/2026-08-22/eurostat_real_gdp_FRA_1995_2025.json,missing,,0,raw payload not found
eurostat_real_gdp_GBR,Eurostat,real_gdp,data/raw/2026-08-22/eurostat_real_gdp_GBR_1995_2025.json,missing,,0,raw payload not found
eurostat_real_gdp_ITA,Eurostat,real_gdp,data/raw/2026-08-22/eurostat_real_gdp_ITA_1995_2025.json,missing,,0,raw payload not found
eurostat_real_gdp_NLD,Eurostat,real_gdp,data/raw/2026-08-22/eurostat_real_gdp_NLD_1995_2025.json,missing,,0,raw payload not found
eurostat_real_gdp_PRT,Eurostat,real_gdp,data/raw/2026-08-22/eurostat_real_gdp_PRT_1995_2025.json,missing,,0,raw payload not found
